var1	var2	var3
41.71	38.86	77.52
44.5	80.07	72.3
44.88	97.21	90.48
41.17	63.52	81.5
43.62	39.08	80.03
47.71	59.32	83.17
30.66	67.15	83.48
38.22	73.09	76.23
36.5	87.33	83.49
31.58	60.86	76.64
37.63	52.41	78.3
39.13	46.94	85.74
41.89	45.23	70.23
37.95	70.05	85.65
30.7	59.82	77.15
43.52	59.04	96.3
33.96	65.21	74.7
47.52	51.96	81.17
33.71	60.65	71.83
41.3	67.17	95.19
40.47	50.64	75.75
33.05	56.41	82.27
46.27	73.08	84.27
45.25	39.87	94.16
35.12	55.53	85.86
42.77	42.78	75.85
35.57	44.68	82.91
36.78	75.01	68.92
34.53	69.21	76.31
37.44	45.72	98.6
42.07	77.29	82.95
29.05	69.48	77.81
44.56	72.87	73.05
41.16	73.05	94.67
35.04	85.43	67.9
25.92	64.22	68.45
44.85	60.99	93.64
38.5	92.29	74.18
43.75	39.44	82.77
40.26	64.92	76.61
29.79	47.45	84.28
42.8	40.04	80.47
31.6	51.1	90.94
41.16	62.13	75.06
44.3	59.41	89.62
40.92	48.73	79.1
40.95	63.18	85.59
44.69	44	63.43
48.69	49.17	82.55
31.61	57.83	100.73
41.94	71.29	77.46
39.87	81.7	93.04
36.04	56.52	85.94
